index0	terrace	bedrooms	construction_year	date_month	date_year	date_year_month	floor	rooms	price_room	price_surface	price	surface	zip
0	yes	2	1986	3	2016	2016_03	up floor	3	108333.33333333333	3915.6626506024095	325000	83	85221
1	yes	NAN	1972	3	2016	2016_03	up floor	3	115000.0	4107.142857142857	345000	84	85521
2	yes	2	1968	3	2016	2016_03	up floor	3	123333.33333333333	4805.194805194805	370000	77	81369
3	yes	2	1963	3	2016	2016_03	up floor	3	133000.0	4244.68085106383	399000	94	82110
4	yes	2	1973	3	2016	2016_03	up floor	3	122933.33333333333	4789.61038961039	368800	77	81735
5	yes	2	1972	3	2016	2016_03	up floor	3	85666.66666666667	3212.5	257000	80	85716
6	yes	2	1975	3	2016	2016_03	up floor	3	109666.66666666667	4386.666666666667	329000	75	81673
7	yes	NAN	1972	3	2016	2016_03	up floor	4	79750.0	3009.433962264151	319000	106	85716
8	yes	NAN	1983	3	2016	2016_03	NAN	3	115000.0	4312.5	345000	80	81379
9	yes	2	1967	3	2016	2016_03	NAN	3	99666.66666666667	3934.2105263157896	299000	76	81927
10	yes	NAN	1970	3	2016	2016_03	up floor	3	121666.66666666667	4562.5	365000	80	81245
11	yes	2	1976	3	2016	2016_03	up floor	3	128333.33333333333	4184.782608695652	385000	92	81925
12	yes	NAN	1973	3	2016	2016_03	up floor	3	95666.66666666667	3500.0	287000	82	85540
13	yes	2	1968	3	2016	2016_03	up floor	3	126666.66666666667	4871.794871794872	380000	78	81245
14	yes	NAN	2005	3	2016	2016_03	up floor	3	119333.33333333333	4531.645569620253	358000	79	82110
15	yes	2	1964	3	2016	2016_03	up floor	3	103333.33333333333	3690.4761904761904	310000	84	82110
16	yes	NAN	1972	3	2016	2016_03	NAN	3	116333.33333333333	4204.819277108434	349000	83	82061
17	yes	2	1974	3	2016	2016_03	up floor	3	92224.0	3217.1162790697676	276672	86	81735
18	yes	NAN	1974	3	2016	2016_03	up floor	3	116666.66666666667	5000.0	350000	70	80935
19	yes	2	1967	3	2016	2016_03	ground floor	3	106666.66666666667	4507.042253521126	320000	71	85521
20	yes	2	1913	3	2016	2016_03	up floor	3	100000.0	4411.764705882353	300000	68	81371
21	yes	2	1960	3	2016	2016_03	up floor	3	113000.0	5380.952380952381	339000	63	81245
22	yes	2	1969	3	2016	2016_03	up floor	3	108333.33333333333	3823.529411764706	325000	85	81673
23	yes	3	1975	3	2016	2016_03	up floor	3	132666.66666666666	4234.04255319149	398000	94	81735
24	yes	3	1970	3	2016	2016_03	up floor	4	97000.0	4084.2105263157896	388000	95	80807
25	yes	2	1972	3	2016	2016_03	NAN	3	133333.33333333334	4651.162790697675	400000	86	81735
26	yes	2	1989	3	2016	2016_03	up floor	3	90000.0	3750.0	270000	72	81737
27	yes	2	NAN	3	2016	2016_03	up floor	3	125000.0	5357.142857142857	375000	70	81539
28	yes	2	1978	3	2016	2016_03	up floor	3	126333.33333333333	4211.111111111111	379000	90	81371
29	yes	2	1967	3	2016	2016_03	up floor	3	123333.33333333333	5068.493150684932	370000	73	81243
30	yes	NAN	1976	3	2016	2016_03	NAN	3	89666.66666666667	3405.0632911392404	269000	79	85640
31	yes	1	1979	3	2016	2016_03	up floor	3	123000.0	4193.181818181818	369000	88	82131
32	yes	NAN	1971	3	2016	2016_03	up floor	3	128333.33333333333	4812.5	385000	80	81476
33	yes	NAN	1967	3	2016	2016_03	up floor	3	73333.33333333333	3055.5555555555557	220000	72	80689
34	yes	3	1967	3	2016	2016_03	up floor	4	96450.0	5010.38961038961	385800	77	81541
35	yes	2	1968	3	2016	2016_03	up floor	3	115000.0	4600.0	345000	75	82008
36	yes	2	1969	3	2016	2016_03	up floor	3	128333.33333333333	4277.777777777777	385000	90	82008
37	yes	NAN	1963	3	2016	2016_03	up floor	3	120000.0	4390.243902439024	360000	82	80686
38	yes	2	1963	3	2016	2016_03	up floor	3	126500.0	4464.705882352941	379500	85	82110
39	yes	2	1966	3	2016	2016_03	ground floor	3	99333.33333333333	4082.1917808219177	298000	73	81475
40	yes	2	1970	3	2016	2016_03	up floor	3	105000.0	4315.068493150685	315000	73	85221
41	yes	2	2014	3	2016	2016_03	up floor	3	129666.66666666667	4743.90243902439	389000	82	81241
42	yes	NAN	1964	3	2016	2016_03	up floor	3	75000.0	3629.032258064516	225000	62	80992
43	yes	2	NAN	3	2016	2016_03	up floor	3	110000.0	4782.608695652174	330000	69	80997
44	yes	2	NAN	3	2016	2016_03	up floor	3	110000.0	4782.608695652174	330000	69	80997
45	yes	2	1966	3	2016	2016_03	up floor	3	102666.66666666667	4812.5	308000	64	81476
46	yes	2	1973	3	2016	2016_03	up floor	3	128333.33333333333	4476.7441860465115	385000	86	81737
47	yes	2	1972	3	2016	2016_03	up floor	3	111666.66666666667	4718.30985915493	335000	71	81243
48	yes	2	1975	3	2016	2016_03	ground floor	3	133166.66666666666	4645.3488372093025	399500	86	81369
49	yes	2	1981	3	2016	2016_03	up floor	3	116666.66666666667	4487.179487179487	350000	78	81739
50	yes	2	1968	3	2016	2016_03	up floor	3	113000.0	4985.294117647059	339000	68	81379
51	yes	2	1954	3	2016	2016_03	up floor	3	109666.66666666667	5061.538461538462	329000	65	80687
52	yes	2	1966	3	2016	2016_03	up floor	3	109666.66666666667	4700.0	329000	70	81369
53	yes	NAN	1963	3	2016	2016_03	ground floor	3	120000.0	4390.243902439024	360000	82	80686
54	yes	2	1992	3	2016	2016_03	ground floor	3	126666.66666666667	6229.508196721312	380000	61	81827
55	yes	2	1966	3	2016	2016_03	up floor	3	123000.0	5054.7945205479455	369000	73	81827
56	yes	2	1975	3	2016	2016_03	up floor	3	101833.33333333333	3394.4444444444443	305500	90	85540
57	yes	3	2016	3	2016	2016_03	ground floor	4	0.0	0.0	0	90	82041
58	yes	2	1971	3	2016	2016_03	up floor	3	119666.66666666667	4662.337662337663	359000	77	82110
59	yes	2	1964	3	2016	2016_03	up floor	3	129666.66666666667	5256.756756756757	389000	74	82152
60	yes	NAN	NAN	3	2016	2016_03	up floor	3	131333.33333333334	4690.476190476191	394000	84	81245
61	yes	NAN	1972	3	2016	2016_03	up floor	3	111666.66666666667	4718.30985915493	335000	71	81243
62	yes	2	2003	3	2016	2016_03	up floor	3	128000.0	4800.0	384000	80	82110
63	yes	3	1963	3	2016	2016_03	up floor	4	83750.0	3722.222222222222	335000	90	85521
64	yes	2	1975	3	2016	2016_03	NAN	3	93000.0	3244.186046511628	279000	86	85221
65	yes	3	1969	3	2016	2016_03	up floor	3	113000.0	3725.2747252747254	339000	91	82008
66	yes	2	NAN	3	2016	2016_03	up floor	3	133000.0	5619.718309859155	399000	71	81243
67	yes	NAN	1968	3	2016	2016_03	up floor	4	96250.0	4425.287356321839	385000	87	81735
